Unnamed: 0,sex,age,studytime,famsup,freetime,G1,G2,Result_Success,Result_Successfully,G3,gnb_prediction,knn_prediction,dtc_prediction
202,1,17.0,2,1,4.0,9,9.0,0,1,10,9,7,10
347,0,18.0,3,1,4.0,10,10.0,0,1,9,10,8,10
333,1,18.0,2,0,3.0,8,8.0,1,0,4,4,4,4
10,1,15.0,2,1,3.0,10,8.0,0,1,9,11,10,8
90,1,16.0,3,1,3.0,7,7.0,0,1,8,8,10,6
301,0,17.0,1,0,1.5,11,11.0,0,1,10,12,10,10
108,0,15.0,4,1,3.0,10,13.0,0,1,13,14,15,14
131,1,15.0,1,1,3.0,8,1.5,1,0,4,4,4,4
6,0,16.0,2,0,4.0,12,12.0,0,1,11,13,10,12
222,1,16.0,2,0,3.0,16,16.0,0,1,17,15,15,16
114,0,15.0,2,0,4.0,9,9.0,0,1,9,10,8,10
251,0,16.0,2,1,3.0,7,10.0,0,1,10,10,12,10
235,0,16.0,3,0,3.0,11,9.0,0,1,10,10,10,9
196,0,17.0,1,0,2.0,17,15.0,0,1,16,15,13,15
64,1,15.0,2,0,4.0,10,10.0,0,1,10,11,8,10
67,1,16.0,4,1,3.0,7,7.0,0,1,6,8,8,6
189,0,17.0,2,0,1.5,8,9.0,0,1,10,9,10,8
129,0,16.0,1,0,5.0,18,18.0,0,1,18,18,19,18
70,0,16.0,4,1,3.0,13,15.0,0,1,15,15,15,17
181,0,16.0,2,0,2.0,12,13.0,0,1,12,13,10,12
197,0,16.0,1,1,3.0,9,9.0,0,1,10,10,8,10
122,1,16.0,2,1,2.0,13,13.0,0,1,13,13,10,12
325,0,18.0,3,0,3.0,9,12.0,0,1,11,10,11,10
53,1,15.0,1,1,3.0,8,10.0,0,1,11,10,10,10
47,0,16.0,4,0,2.0,19,19.0,0,1,20,15,10,19
215,1,17.0,2,0,4.0,14,15.0,0,1,15,15,15,15
368,1,18.0,1,1,2.0,11,10.0,0,1,10,10,9,10
140,0,15.0,4,1,2.0,7,9.0,1,0,4,4,4,4
293,1,17.0,4,1,1.5,18,18.0,0,1,18,17,12,19
365,0,18.0,2,1,3.0,10,10.0,0,1,10,10,12,10
19,0,16.0,1,0,1.5,8,10.0,0,1,10,10,14,9
372,1,17.0,3,0,4.0,13,11.0,0,1,11,12,15,12
36,0,15.0,3,1,4.0,15,16.0,0,1,18,17,14,17
27,0,15.0,1,0,2.0,15,16.0,0,1,15,15,14,15
51,1,15.0,2,1,3.0,11,13.0,0,1,13,11,11,13
8,0,15.0,2,1,2.0,16,18.0,0,1,19,18,14,18
135,1,15.0,3,1,3.0,11,1.5,1,0,4,4,4,4
249,0,16.0,1,0,3.0,13,15.0,0,1,15,15,13,16
133,1,16.0,1,0,2.0,12,11.0,0,1,11,12,13,14
107,0,16.0,3,1,3.0,16,18.0,0,1,18,18,16,18
86,1,16.0,2,1,3.0,8,7.0,0,1,6,6,10,6
96,0,16.0,1,1,3.0,11,15.0,0,1,15,14,14,16
143,1,16.0,1,0,4.0,14,14.0,0,1,13,15,13,13
87,1,15.0,3,1,3.0,13,14.0,0,1,14,14,15,15
168,1,16.0,2,1,1.5,6,7.0,1,0,4,4,4,4
254,0,17.0,1,0,4.0,8,12.0,0,1,12,10,8,10
269,1,18.0,2,1,3.0,6,1.5,1,0,4,4,4,4
378,1,18.0,2,0,1.5,15,15.0,0,1,15,15,11,15
240,0,17.0,2,0,5.0,12,12.0,0,1,12,12,10,12
228,0,18.0,2,1,3.0,10,8.0,0,1,9,9,12,8
186,0,16.0,1,1,3.0,11,12.0,0,1,11,12,9,12
238,1,17.0,2,0,1.5,13,11.0,0,1,11,12,12,12
98,1,16.0,1,0,3.0,11,14.0,0,1,14,13,13,13
326,0,17.0,1,0,3.0,14,15.0,0,1,16,15,11,15
371,0,18.0,1,1,3.0,14,12.0,0,1,12,13,10,14
83,0,15.0,2,0,3.0,15,15.0,0,1,15,15,15,14
295,0,17.0,1,1,4.0,14,12.0,0,1,11,13,10,14
28,0,16.0,2,1,3.0,11,11.0,0,1,11,11,11,11
268,0,18.0,2,1,4.0,10,9.0,0,1,10,9,8,9
66,0,15.0,4,1,3.0,13,13.0,0,1,12,14,14,14
7,1,17.0,2,1,1.5,6,5.0,0,1,6,6,10,6
233,0,16.0,2,1,2.0,14,13.0,0,1,13,14,11,13
219,1,17.0,3,1,3.0,9,10.0,0,1,10,10,10,9
188,1,17.0,2,1,3.0,8,7.0,0,1,9,8,10,9
33,0,15.0,2,0,3.0,8,10.0,0,1,12,10,8,9
24,1,15.0,3,1,3.0,10,9.0,0,1,8,11,10,9
332,1,18.0,2,0,3.0,7,1.5,1,0,4,4,4,4
63,1,16.0,3,1,4.0,10,9.0,0,1,9,11,8,11
272,1,18.0,2,1,4.0,11,11.0,0,1,11,11,11,9
374,1,18.0,3,0,4.0,19,18.0,0,1,19,15,15,19
163,0,17.0,1,0,3.0,10,10.0,0,1,10,10,14,10
303,1,17.0,4,1,2.0,17,17.0,0,1,18,17,14,17
354,0,17.0,2,1,5.0,13,11.0,0,1,11,12,9,12
259,1,17.0,4,0,4.0,10,9.0,1,0,4,4,4,4
201,1,16.0,2,1,4.0,8,10.0,0,1,10,10,11,10
290,0,18.0,2,1,3.0,12,11.0,0,1,11,12,12,12
91,1,15.0,1,0,5.0,16,17.0,0,1,18,16,13,17
75,0,15.0,2,1,3.0,9,9.0,0,1,10,11,14,10
391,0,17.0,1,0,4.0,14,16.0,0,1,16,15,10,15
369,1,18.0,2,1,2.0,14,12.0,0,1,11,13,9,14
223,0,18.0,2,1,3.0,12,13.0,0,1,13,14,11,14
21,0,15.0,1,1,4.0,12,15.0,0,1,15,15,14,14
362,1,18.0,2,1,3.0,11,11.0,0,1,10,10,8,10
92,1,16.0,2,1,3.0,7,6.0,0,1,6,6,10,6
105,1,15.0,4,0,3.0,10,11.0,0,1,11,11,11,11
172,0,17.0,2,1,4.0,13,11.0,0,1,10,12,11,12
82,1,15.0,2,1,4.0,7,6.0,0,1,6,7,10,6
16,1,16.0,3,1,2.0,13,14.0,0,1,14,14,11,15
11,1,15.0,3,1,2.0,10,12.0,0,1,12,11,11,11
200,1,16.0,2,1,3.0,16,16.0,0,1,16,17,14,16
